t=2026-06-17T23:50:47+0300 lvl=info msg="command usage" msg="Flag --request-header-add has been deprecated, use traffic policy instead"
t=2026-06-17T23:50:47+0300 lvl=info msg="no configuration paths supplied"
t=2026-06-17T23:50:47+0300 lvl=info msg="using configuration at default config path" path=C:\\Users\\Константин\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-06-17T23:50:47+0300 lvl=info msg="open config file" path=C:\\Users\\Константин\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-06-17T23:50:47+0300 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-06-17T23:50:47+0300 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-06-18T00:39:32+0300 lvl=info msg="join connections" obj=join id=18fd281cef9c l=127.0.0.1:3000 r=79.133.42.80:54080
t=2026-06-18T00:39:32+0300 lvl=info msg="join connections" obj=join id=3e34a97b4169 l=127.0.0.1:3000 r=79.133.42.80:54080
t=2026-06-18T00:39:32+0300 lvl=info msg="join connections" obj=join id=472ac8b940d6 l=127.0.0.1:3000 r=79.133.42.80:54080
t=2026-06-18T00:39:32+0300 lvl=info msg="join connections" obj=join id=7e61217c8e6e l=127.0.0.1:3000 r=79.133.42.80:54080
t=2026-06-18T00:39:33+0300 lvl=info msg="join connections" obj=join id=53da8dd892c2 l=127.0.0.1:3000 r=79.133.42.80:54080
t=2026-06-18T00:39:33+0300 lvl=info msg="join connections" obj=join id=ea28ce161b74 l=127.0.0.1:3000 r=79.133.42.80:54080
t=2026-06-18T00:39:33+0300 lvl=info msg="join connections" obj=join id=1b4a4eb56ef8 l=127.0.0.1:3000 r=79.133.42.80:54080
t=2026-06-18T00:39:33+0300 lvl=info msg="join connections" obj=join id=622d5cc2b4bb l=127.0.0.1:3000 r=79.133.42.80:41400
t=2026-06-18T00:39:33+0300 lvl=info msg="join connections" obj=join id=7f615f75c69c l=127.0.0.1:3000 r=79.133.42.80:57214
t=2026-06-18T00:39:33+0300 lvl=info msg="join connections" obj=join id=03d5d3cdced9 l=127.0.0.1:3000 r=79.133.42.80:57214
t=2026-06-18T00:39:33+0300 lvl=info msg="join connections" obj=join id=1dabf11e2ab8 l=127.0.0.1:3000 r=79.133.42.80:41404
t=2026-06-18T00:39:33+0300 lvl=info msg="join connections" obj=join id=370e5674a030 l=127.0.0.1:3000 r=79.133.42.80:41404
t=2026-06-18T00:39:33+0300 lvl=info msg="join connections" obj=join id=b1abbb352d3b l=127.0.0.1:3000 r=79.133.42.80:41404
t=2026-06-18T00:39:33+0300 lvl=info msg="join connections" obj=join id=59a8b744f111 l=127.0.0.1:3000 r=79.133.42.80:41404
t=2026-06-18T00:39:33+0300 lvl=info msg="join connections" obj=join id=5b0000ff9f8c l=127.0.0.1:3000 r=79.133.42.80:41404
t=2026-06-18T00:39:33+0300 lvl=info msg="join connections" obj=join id=a5aef0500df6 l=127.0.0.1:3000 r=79.133.42.80:41404
t=2026-06-18T00:39:34+0300 lvl=info msg="join connections" obj=join id=a377482e4f20 l=127.0.0.1:3000 r=79.133.42.80:41404
t=2026-06-18T00:39:34+0300 lvl=info msg="join connections" obj=join id=4f257986f261 l=127.0.0.1:3000 r=79.133.42.80:41404
t=2026-06-18T00:39:34+0300 lvl=info msg="join connections" obj=join id=b147f5fdcef3 l=127.0.0.1:3000 r=79.133.42.80:43468
t=2026-06-18T00:46:16+0300 lvl=info msg="join connections" obj=join id=8a79dbfe8c55 l=127.0.0.1:3000 r=79.133.42.80:46044
t=2026-06-18T00:46:17+0300 lvl=info msg="join connections" obj=join id=8fbce958974e l=127.0.0.1:3000 r=79.133.42.80:46044
t=2026-06-18T00:47:54+0300 lvl=info msg="join connections" obj=join id=79b22db8b76b l=127.0.0.1:3000 r=79.133.42.80:58494
t=2026-06-18T00:47:54+0300 lvl=info msg="join connections" obj=join id=aad6af6fc9cf l=127.0.0.1:3000 r=79.133.42.80:58494
t=2026-06-18T00:48:09+0300 lvl=info msg="join connections" obj=join id=cd05519416af l=127.0.0.1:3000 r=79.133.42.80:58494
t=2026-06-18T00:48:09+0300 lvl=info msg="join connections" obj=join id=91443821f998 l=127.0.0.1:3000 r=79.133.42.80:58494
t=2026-06-18T00:48:16+0300 lvl=info msg="join connections" obj=join id=a2888a78c2e1 l=127.0.0.1:3000 r=79.133.42.80:43512
t=2026-06-18T00:48:16+0300 lvl=info msg="join connections" obj=join id=3bd397f24810 l=127.0.0.1:3000 r=79.133.42.80:43512
t=2026-06-18T00:48:16+0300 lvl=info msg="join connections" obj=join id=5e365f0ec2eb l=127.0.0.1:3000 r=79.133.42.80:43512
t=2026-06-18T00:48:16+0300 lvl=info msg="join connections" obj=join id=d0a50db1ed57 l=127.0.0.1:3000 r=79.133.42.80:43512
t=2026-06-18T00:48:16+0300 lvl=info msg="join connections" obj=join id=51b5da44e608 l=127.0.0.1:3000 r=79.133.42.80:43512
t=2026-06-18T00:48:16+0300 lvl=info msg="join connections" obj=join id=6dc8d1ce2c04 l=127.0.0.1:3000 r=79.133.42.80:43512
t=2026-06-18T00:48:16+0300 lvl=info msg="join connections" obj=join id=17336c8bc440 l=127.0.0.1:3000 r=79.133.42.80:43512
t=2026-06-18T00:48:17+0300 lvl=info msg="join connections" obj=join id=9300c6b9a299 l=127.0.0.1:3000 r=79.133.42.80:43512
t=2026-06-18T00:48:17+0300 lvl=info msg="join connections" obj=join id=b1869553e1ef l=127.0.0.1:3000 r=79.133.42.80:43512
t=2026-06-18T00:48:17+0300 lvl=info msg="join connections" obj=join id=20db44b8885d l=127.0.0.1:3000 r=79.133.42.80:43512
t=2026-06-18T00:48:17+0300 lvl=info msg="join connections" obj=join id=c0b581df7b10 l=127.0.0.1:3000 r=79.133.42.80:60894
t=2026-06-18T00:48:17+0300 lvl=info msg="join connections" obj=join id=ec43928727d7 l=127.0.0.1:3000 r=79.133.42.80:60910
t=2026-06-18T00:48:18+0300 lvl=info msg="join connections" obj=join id=41e151550649 l=127.0.0.1:3000 r=79.133.42.80:54352
t=2026-06-18T00:48:18+0300 lvl=info msg="join connections" obj=join id=85a2883f9a09 l=127.0.0.1:3000 r=79.133.42.80:54352
t=2026-06-18T00:48:18+0300 lvl=info msg="join connections" obj=join id=7d6dd9ab085f l=127.0.0.1:3000 r=79.133.42.80:54352
t=2026-06-18T00:48:18+0300 lvl=info msg="join connections" obj=join id=6b3c730ee59d l=127.0.0.1:3000 r=79.133.42.80:54352
t=2026-06-18T00:48:18+0300 lvl=info msg="join connections" obj=join id=7d1d5c983098 l=127.0.0.1:3000 r=79.133.42.80:54352
t=2026-06-18T00:48:18+0300 lvl=info msg="join connections" obj=join id=79d04cf878c6 l=127.0.0.1:3000 r=79.133.42.80:54352
t=2026-06-18T00:48:19+0300 lvl=info msg="join connections" obj=join id=a4004c2d3570 l=127.0.0.1:3000 r=79.133.42.80:60910
t=2026-06-18T00:48:19+0300 lvl=info msg="join connections" obj=join id=4362092440d1 l=127.0.0.1:3000 r=79.133.42.80:54352
t=2026-06-18T00:48:19+0300 lvl=info msg="join connections" obj=join id=fbe4f9532862 l=127.0.0.1:3000 r=79.133.42.80:54352
t=2026-06-18T00:48:19+0300 lvl=info msg="join connections" obj=join id=4753994b2b68 l=127.0.0.1:3000 r=79.133.42.80:54352
t=2026-06-18T00:48:19+0300 lvl=info msg="join connections" obj=join id=f0eb287e074d l=127.0.0.1:3000 r=79.133.42.80:43526
t=2026-06-18T00:48:32+0300 lvl=info msg="join connections" obj=join id=52de7d4c992f l=127.0.0.1:3000 r=79.133.42.80:54352
t=2026-06-18T00:48:32+0300 lvl=info msg="join connections" obj=join id=84357cec7f70 l=127.0.0.1:3000 r=79.133.42.80:54352
t=2026-06-18T00:49:23+0300 lvl=info msg="join connections" obj=join id=09dac8eaee2d l=127.0.0.1:3000 r=79.133.42.80:34696
t=2026-06-18T00:49:23+0300 lvl=info msg="join connections" obj=join id=a9a7d1b8981b l=127.0.0.1:3000 r=79.133.42.80:34696
t=2026-06-18T00:53:08+0300 lvl=info msg="join connections" obj=join id=a30d575d86b0 l=127.0.0.1:3000 r=79.133.42.80:34706
t=2026-06-18T00:53:09+0300 lvl=info msg="join connections" obj=join id=696a25749d31 l=127.0.0.1:3000 r=79.133.42.80:34706
t=2026-06-18T00:53:09+0300 lvl=info msg="join connections" obj=join id=f6f2d4d713d0 l=127.0.0.1:3000 r=79.133.42.80:34706
t=2026-06-18T00:53:09+0300 lvl=info msg="join connections" obj=join id=6cb213aad479 l=127.0.0.1:3000 r=79.133.42.80:34706
t=2026-06-18T00:53:09+0300 lvl=info msg="join connections" obj=join id=1a9d1403ebe4 l=127.0.0.1:3000 r=79.133.42.80:34706
t=2026-06-18T00:53:09+0300 lvl=info msg="join connections" obj=join id=38b8bc85b7e0 l=127.0.0.1:3000 r=79.133.42.80:34706
t=2026-06-18T00:53:09+0300 lvl=info msg="join connections" obj=join id=07b62ad94135 l=127.0.0.1:3000 r=79.133.42.80:34706
t=2026-06-18T00:53:09+0300 lvl=info msg="join connections" obj=join id=baa00fcad180 l=127.0.0.1:3000 r=79.133.42.80:34706
t=2026-06-18T00:53:09+0300 lvl=info msg="join connections" obj=join id=05b63a38e0d2 l=127.0.0.1:3000 r=79.133.42.80:34706
t=2026-06-18T00:53:09+0300 lvl=info msg="join connections" obj=join id=15c132771e1f l=127.0.0.1:3000 r=79.133.42.80:34706
t=2026-06-18T00:53:09+0300 lvl=info msg="join connections" obj=join id=64827796b249 l=127.0.0.1:3000 r=79.133.42.80:34714
t=2026-06-18T00:53:10+0300 lvl=info msg="join connections" obj=join id=4df062a8bab3 l=127.0.0.1:3000 r=79.133.42.80:54954
t=2026-06-18T00:53:10+0300 lvl=info msg="join connections" obj=join id=d45d2586fd03 l=127.0.0.1:3000 r=79.133.42.80:54954
t=2026-06-18T00:53:10+0300 lvl=info msg="join connections" obj=join id=26decf048713 l=127.0.0.1:3000 r=79.133.42.80:51048
t=2026-06-18T00:53:10+0300 lvl=info msg="join connections" obj=join id=cf9f0b172233 l=127.0.0.1:3000 r=79.133.42.80:51048
